serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,F-WWIA,11/03/1993,Airbus Industrie,Prototype 321,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,30/06/1998,Onur Air,,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,01/10/1998,Lotus Air,Converted 321-111,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,31/03/1999,Onur Air,,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,08/10/1999,Lotus Air,,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,17/05/2000,Onur Air,,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,15/01/2006,Qeshm Air,lsd from Onur Air,Transferred
364,,Airbus A321,321-131,11/03/1993,27.1,F-WWIA,IAE V2530-A5,2,TC-ONS,26/06/2006,Onur Air,Named Funda,Active
385,,Airbus A321,321-131,25/05/1993,26.9,F-WWIB,IAE V2530-A5,2,F-WWIB,25/05/1993,Airbus Industrie,Second Proto,Transferred
385,,Airbus A321,321-131,25/05/1993,26.9,F-WWIB,IAE V2530-A5,2,TC-ONJ,06/07/1996,Onur Air,lsd ILFC,Transferred
385,,Airbus A321,321-131,25/05/1993,26.9,F-WWIB,IAE V2530-A5,2,TC-ONJ,15/01/2006,Qeshm Air,lsd from Onur Air,Transferred
385,,Airbus A321,321-131,25/05/1993,26.9,F-WWIB,IAE V2530-A5,2,TC-ONJ,15/06/2006,Onur Air,Lsd From Aercap,Active
412,,Airbus A321,321-131,09/07/1993,26.8,F-WWIC,IAE V2530-A5,2,OO-TCC,09/07/1993,Airbus Industrie,,Transferred
412,,Airbus A321,321-131,09/07/1993,26.8,F-WWIC,IAE V2530-A5,2,D-AIRH,05/07/1994,Lufthansa,Named Garmisch-Partenkirchen,Active
434,,Airbus A321,321-111,01/09/1993,,F-WWID,CFMI CFM56-5B1,2,F-WWID,01/09/1993,Airbus Industrie,,Transferred
434,,Airbus A321,321-111,01/09/1993,,F-WWID,CFMI CFM56-5B1,2,I-BIXU,04/11/1994,Alitalia,Named Piazza della Signoria-Firenze,Transferred
434,,Airbus A321,321-111,01/09/1993,,F-WWID,CFMI CFM56-5B1,2,EI-IXU,11/11/2010,Alitalia,Stored 10/2013Scrapped 05/2015,Scrapped
458,,Airbus A321,321-131,08/12/1993,26.3,F-WWIQ,IAE V2530-A5,2,D-AIRA,27/01/1994,Lufthansa,Named Finkenwerder,Active
468,,Airbus A321,321-131,14/12/1993,26.3,F-WWIS,IAE V2530-A5,2,D-AIRB,07/02/1994,Lufthansa,Named Baden-Baden,Active
473,,Airbus A321,321-131,25/01/1994,26.2,D-AVZC,IAE V2530-A5,2,D-AIRC,15/02/1994,Lufthansa,"Named ""Erlangen""",Active
474,,Airbus A321,321-131,16/02/1994,26.2,D-AVZD,IAE V2530-A5,2,D-AIRD,07/03/1994,Lufthansa,Stored 12/2014 to 03/2015Named Coburg,Active
477,,Airbus A321,321-112,08/02/1994,,D-AVZE,CFMI CFM56-5B2/P,2,I-BIXA,18/03/1994,Alitalia,"Stored 09/2014Named ""Piazza del Duomo - Milano""",Scrapped
484,,Airbus A321,321-131,03/03/1994,26.1,D-AVZF,IAE V2530-A5,2,D-AIRE,14/04/1994,Lufthansa,Named Osnabrück,Active
488,,Airbus A321,321-112,17/03/1994,,D-AVZG,CFMI CFM56-5B2/P,2,I-BIXE,27/05/1994,Alitalia,"Stored 09/2014Named ""Piazza di Spagna - Roma""",Stored
493,,Airbus A321,321-131,06/04/1994,26,D-AVZH,IAE V2530-A5,2,D-AIRF,24/05/1994,Lufthansa,Named Kempten,Active
494,,Airbus A321,321-112,10/05/1994,,D-AVZI,CFMI CFM56-5B2/P,2,I-BIXI,07/06/1994,Alitalia,Named Piazza San Marco - Venezia,Transferred
494,,Airbus A321,321-112,10/05/1994,,D-AVZI,CFMI CFM56-5B2/P,2,EI-IXI,13/11/2010,Alitalia,Stored 01/2015  Broken Up,Scrapped
495,,Airbus A321,321-111,10/05/1994,,D-AVZJ,CFMI CFM56-5B1,2,I-BIXO,20/07/1994,Alitalia,Named Piazza Plebiscito-Napoli,Transferred
495,,Airbus A321,321-111,10/05/1994,,D-AVZJ,CFMI CFM56-5B1,2,EI-IXO,10/04/2010,Alitalia,Stored 02/2014 as N105XG (hawkeye engine services) Named Piazza Plebiscito-napoli,Stored
498,,Airbus A321,321-111,10/06/1994,25.8,D-AVZK,CFMI CFM56-5B1,2,F-GMZA,30/06/1994,Air Inter,,Transferred
498,,Airbus A321,321-111,10/06/1994,25.8,D-AVZK,CFMI CFM56-5B1,2,F-GMZA,01/09/1997,Air France,Leased From Century Tokyo Leasing,Active
502,,Airbus A321,321-131,15/06/1994,25.8,D-AVZL,IAE V2530-A5,2,D-AIRK,19/07/1994,Lufthansa,Named Freudenstadt/Schwarzwald,Active
505,,Airbus A321,321-131,16/08/1994,25.7,D-AVZM,IAE V2530-A5,2,D-AIRL,20/09/1994,Lufthansa,Stored 10/2016 to 01/2017Named Kulmbach,Active
509,,Airbus A321,321-111,20/07/1994,25.7,D-AVZN,CFMI CFM56-5B1,2,F-GMZB,26/08/1994,Air Inter,,Transferred
509,,Airbus A321,321-111,20/07/1994,25.7,D-AVZN,CFMI CFM56-5B1,2,F-GMZB,12/09/1997,Air France,Leased From Century Tokyo Leasing,Active
513,,Airbus A321,321-112,13/12/1995,,D-AVZO,CFMI CFM56-5B2/P,2,I-BIXL,31/01/1996,Alitalia,Stored 09/2019 - Scrapped 03/2020Named Piazza del Duomo Lecce,Scrapped
514,,Airbus A321,321-112,05/02/1996,,D-AVZP,CFMI CFM56-5B2/P,2,I-BIXM,28/02/1996,Alitalia,Scrapped 11/2019Stored 01/2019 as LZ-AWS AwasNamed Piazza di San Francesco Assisi   For Part-out Scrap 02/2019,Scrapped
515,,Airbus A321,321-111,11/05/1995,,D-AVZQ,CFMI CFM56-5B1,2,I-BIXF,07/09/1995,Alitalia,Named Piazza Maggiore-Bologna,Transferred
515,,Airbus A321,321-111,11/05/1995,,D-AVZQ,CFMI CFM56-5B1,2,EI-IXF,05/11/2010,Alitalia,Scrapped 01/2016Stored 03/2014 (APC),Scrapped
516,,Airbus A321,321-111,06/06/1995,,D-AVZR,CFMI CFM56-5B1,2,I-BIXG,21/09/1995,Alitalia,Named Piazza dei Miracoli-Pisa,Transferred
516,,Airbus A321,321-111,06/06/1995,,D-AVZR,CFMI CFM56-5B1,2,EI-IXG,24/11/2010,Alitalia,Stored 06/2014  Scrapped,Scrapped
517,,Airbus A321,321-111,09/12/1994,,D-AVZS,CFMI CFM56-5B1,2,HB-IOA,17/01/1995,Swissair,,Transferred
517,,Airbus A321,321-111,09/12/1994,,D-AVZS,CFMI CFM56-5B1,2,HB-IOA,31/03/2002,Swiss International Air Lines,,Transferred
517,,Airbus A321,321-111,09/12/1994,,D-AVZS,CFMI CFM56-5B1,2,F-GYAP,01/04/2003,Air Mediterranee,lsd ILFC,Transferred
517,,Airbus A321,321-111,09/12/1994,,D-AVZS,CFMI CFM56-5B1,2,F-GYAP,05/01/2015,Daallo Airlines,lsd from Air Mediterranee,Transferred
517,,Airbus A321,321-111,09/12/1994,,D-AVZS,CFMI CFM56-5B1,2,F-GYAP,05/03/2015,Air Mediterranee,Ceased operations Feb. 15th 2016,Transferred
