serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
55000,5001,Boeing 717,717-200,02/09/1998,,,BMW RR BR715,2,N717XA,02/09/1998,Boeing,Scrapped in 2005,Scrapped
55001,5002,Boeing 717,717-2BD,26/10/1998,21.5,,BMW RR BR715,2,N717XB,26/10/1998,Boeing,,Transferred
55001,5002,Boeing 717,717-2BD,26/10/1998,21.5,,BMW RR BR715,2,VH-VQA,07/02/2001,Impulse Airlines,,Transferred
55001,5002,Boeing 717,717-2BD,26/10/1998,21.5,,BMW RR BR715,2,VH-VQA,23/05/2001,Qantaslink,,Transferred
55001,5002,Boeing 717,717-2BD,26/10/1998,21.5,,BMW RR BR715,2,VH-VQA,25/05/2004,Jetstar,,Transferred
55001,5002,Boeing 717,717-2BD,26/10/1998,21.5,,BMW RR BR715,2,VH-NXF,01/09/2005,National Jet Systems,Stored at Adelaide 25/08/07,Transferred
55001,5002,Boeing 717,717-2BD,26/10/1998,21.5,,BMW RR BR715,2,N488HA,01/12/2008,Hawaiian Airlines,Named Puaiohi,Active
55002,5003,Boeing 717,717-2BD,16/12/1998,21.3,,BMW RR BR715,2,N717XC,16/12/1998,Boeing,,Transferred
55002,5003,Boeing 717,717-2BD,16/12/1998,21.3,,BMW RR BR715,2,VH-VQB,29/12/2000,Impulse Airlines,,Transferred
55002,5003,Boeing 717,717-2BD,16/12/1998,21.3,,BMW RR BR715,2,VH-VQB,23/05/2001,Qantaslink,,Transferred
55002,5003,Boeing 717,717-2BD,16/12/1998,21.3,,BMW RR BR715,2,VH-VQB,25/05/2004,Jetstar,last service 12/07/05,Transferred
55002,5003,Boeing 717,717-2BD,16/12/1998,21.3,,BMW RR BR715,2,VH-NXB,02/09/2005,National Jet Systems,Stored 04/2007,Transferred
55002,5003,Boeing 717,717-2BD,16/12/1998,21.3,,BMW RR BR715,2,N489HA,16/10/2008,Hawaiian Airlines,Named Po Ouli,Active
55003,5004,Boeing 717,717-2BD,24/02/1999,21.1,,BMW RR BR715,2,N717XD,24/02/1999,Boeing,,Transferred
55003,5004,Boeing 717,717-2BD,24/02/1999,21.1,,BMW RR BR715,2,N949AT,28/01/2000,airTran,Stored 11/2014,Transferred
55003,5004,Boeing 717,717-2BD,24/02/1999,21.1,,BMW RR BR715,2,N949AT,17/07/2015,Delta Air Lines,,Active
55004,5005,Boeing 717,717-2BD,Unknown,20.9,,BMW RR BR715,2,N717XE,20/05/1999,Boeing,,Transferred
55004,5005,Boeing 717,717-2BD,Unknown,20.9,,BMW RR BR715,2,N940AT,26/11/1999,airTran,Stored 12/2014,Transferred
55004,5005,Boeing 717,717-2BD,Unknown,20.9,,BMW RR BR715,2,N940AT,04/10/2015,Delta Air Lines,,Active
55005,5006,Boeing 717,717-2BD,Unknown,20.6,,BMW RR BR715,2,N942AT,23/09/1999,airTran,Stored 12/2014,Transferred
55005,5006,Boeing 717,717-2BD,Unknown,20.6,,BMW RR BR715,2,N942AT,26/05/2015,Delta Air Lines,,Active
55006,5007,Boeing 717,717-2BD,Unknown,20.5,,BMW RR BR715,2,N943AT,24/09/1999,airTran,Stored 12/2014,Transferred
55006,5007,Boeing 717,717-2BD,Unknown,20.5,,BMW RR BR715,2,N943AT,05/09/2015,Delta Air Lines,,Active
55007,5008,Boeing 717,717-2BD,Unknown,20.5,,BMW RR BR715,2,N944AT,26/10/1999,airTran,Stored 12/2014,Transferred
55007,5008,Boeing 717,717-2BD,Unknown,20.5,,BMW RR BR715,2,N944AT,14/09/2015,Delta Air Lines,,Active
