serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1,,Concorde,Concorde 100,02/03/1969,,F-WTSS,RR Olympus 593,4,F-WTSS,02/03/1969,Aerospatiale,Std Mus?e de l Air - Le Bourget,Stored
2,,Concorde,Concorde 100,09/04/1969,,G-BSST,RR Olympus 593,4,G-BSST,09/04/1969,British Aerospace,Std Yeovilton,Stored
101,,Concorde,Concorde 100,17/12/1971,,G-AXDN,RR Olympus 593,4,G-AXDN,17/12/1971,British Aerospace,Std Duxford,Stored
102,,Concorde,Concorde 100,10/01/1973,,F-WTSA,RR Olympus 593,4,F-WTSA,10/01/1973,Aerospatiale,Std Orly,Stored
201,,Concorde,Concorde 100,06/12/1973,,F-WTSB,RR Olympus 593,4,F-WTSB,06/12/1973,Aerospatiale,Std Toulouse,Stored
202,,Concorde,Concorde 100,13/02/1974,,G-BBDG,RR Olympus 593,4,G-BBDG,13/02/1974,British Aerospace,"Used for Spares, now preserved at the Brooklands Museum in Weybridge Surrey",Stored
203,,Concorde,Concorde 101,31/01/1975,,F-WTSC,RR Olympus 593 Mk.610,4,F-BTSC,06/01/1976,Air France,,Written off
204,,Concorde,Concorde 102,27/02/1975,,G-BOAC,RR Olympus 593 Mk.610,4,G-BOAC,13/02/1976,British Airways,withdraw from use 24/10/03 - Displayed at Manchester Airport,Stored
205,,Concorde,Concorde 101,27/10/1975,,F-BVFA,RR Olympus 593 Mk.610,4,F-BVFA,19/12/1975,Air France,withdraw from use 31/05/2003 - Last flight to IAD 12/06/2003 as AFR4386 - Stored at the Smithonian Air and Space Museum (Washingtown),Stored
206,,Concorde,Concorde 102,05/11/1975,,G-BOAA,RR Olympus 593 Mk.610,4,G-BOAA,14/01/1976,British Airways,withdraw from use 24/10/03 - Displayed at Scotland's Museum of Flight,Stored
207,,Concorde,Concorde 101,06/03/1976,,F-BVFB,RR Olympus 593 Mk.610,4,F-BVFB,08/04/1976,Air France,withdraw from use 31/05/2003 - Last flight to FKB 24/06/2003 as AFR4406 - Stored at the Sinsheim  museum (Germany),Stored
208,,Concorde,Concorde 102,18/05/1976,,G-BOAB,RR Olympus 593 Mk.610,4,G-BOAB,30/09/1976,British Airways,withdraw from use 24/10/03 - Displayed at Heathrow Airport,Stored
209,,Concorde,Concorde 101,09/07/1976,,F-BVFC,RR Olympus 593 Mk.610,4,F-BVFC,03/08/1976,Air France,withdraw from use 31/05/2003 - Last flight to TLS 27/06/2003 as AFR6903 - Stored at Airbus (Toulouse),Stored
210,,Concorde,Concorde 102,25/08/1976,,G-BOAD,RR Olympus 593 Mk.610,4,G-BOAD,06/12/1976,British Airways,withdraw from use 24/10/03 - Displayed at Intrepid Air & Space Museum,Stored
211,,Concorde,Concorde 101,10/02/1977,,F-BVFD,RR Olympus 593 Mk.610,4,F-BVFD,26/03/1977,Air France,wfu 27/05/82 Used for Spares,Scrapped
212,,Concorde,Concorde 102,17/03/1977,,G-BOAE,RR Olympus 593 Mk.610,4,G-BOAE,20/07/1977,British Airways,withdraw from use 24/10/03 - Displayed at Grantley Adams Airport Barbados,Stored
213,,Concorde,Concorde 101,26/06/1978,,F-WJAM,RR Olympus 593 Mk.610,4,F-BTSD,18/09/1978,Air France,,Transferred
213,,Concorde,Concorde 101,26/06/1978,,F-WJAM,RR Olympus 593 Mk.610,4,F-BTSD,31/03/1996,Pepsi,,Transferred
213,,Concorde,Concorde 101,26/06/1978,,F-WJAM,RR Olympus 593 Mk.610,4,F-BTSD,09/04/1996,Air France,withdraw from use 31/05/2003 - Last flight to LBG 14/06/2003 as AFR4404 - Stored at the Le Musee de l'Air et de l'Espace (Le Bourget),Stored
214,,Concorde,Concorde 102,27/10/1975,,G-BKFW,RR Olympus 593 Mk.610,4,G-BOAG,06/02/1980,British Airways,withdraw from use 24/10/03 - Displayed at Museum of Flight Seattle,Stored
215,,Concorde,Concorde 101,26/12/1978,,F-WJAN,RR Olympus 593 Mk.610,4,F-BVFF,23/10/1980,Air France,withdraw from use 31/05/2003 - Stored at Paris Charles de Gaulle Airport,Stored
216,,Concorde,Concorde 102,20/04/1979,,G-BFKX,RR Olympus 593 Mk.610,4,G-BOAF,06/09/1980,British Airways,withdraw from use 24/10/03 - Displayed at Filton,Stored
