serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1001,,Lockheed L-1011 TriStar,L-1011-1,16/11/1970,,N1011,RB211-22B,3,N1011,16/11/1970,Lockheed,Stored Ardmore / broken up 08/96 fuselage saved for Delta Heritage Museum (first Tristar built),Scrapped
1002,,Lockheed L-1011 TriStar,L-1011-1,15/02/1971,,N31001,RB211-22B,3,N1031L,01/05/1971,Lockheed,,Transferred
1002,,Lockheed L-1011 TriStar,L-1011-1,15/02/1971,,N31001,RB211-22B,3,N301EA,24/03/1973,Eastern Airlines EAL,,Transferred
1002,,Lockheed L-1011 TriStar,L-1011-1,15/02/1971,,N31001,RB211-22B,3,N301EA,21/05/1989,Air America,,Transferred
1002,,Lockheed L-1011 TriStar,L-1011-1,15/02/1971,,N31001,RB211-22B,3,N301EA,01/06/1989,Garuda,,Transferred
1002,,Lockheed L-1011 TriStar,L-1011-1,15/02/1971,,N31001,RB211-22B,3,OB-1455,01/12/1991,AeroPeru,Broken up at MIA 1998,Scrapped
1003,,Lockheed L-1011 TriStar,L-1011-1,01/06/1971,,N301EA,RB211-22B,3,N302EA,22/05/1973,Eastern Airlines EAL,,Transferred
1003,,Lockheed L-1011 TriStar,L-1011-1,01/06/1971,,N301EA,RB211-22B,3,N302EA,27/03/1991,Delta Air Lines,,Transferred
1003,,Lockheed L-1011 TriStar,L-1011-1,01/06/1971,,N301EA,RB211-22B,3,N781DL,01/06/1991,Delta Air Lines,Stored at Marietta 12/2000 b/u no confirmation yet  Scrapped,Scrapped
1004,,Lockheed L-1011 TriStar,L-1011-1,24/10/1971,,,RB211-22B,3,N303EA,15/12/1972,Eastern Airlines EAL,,Transferred
1004,,Lockheed L-1011 TriStar,L-1011-1,24/10/1971,,,RB211-22B,3,N303EA,01/07/1989,Air America,leased,Transferred
1004,,Lockheed L-1011 TriStar,L-1011-1,24/10/1971,,,RB211-22B,3,TF-ABG,01/10/1990,Air Atlanta Icelandic,,Transferred
