serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
46500,1,McDonnell Douglas DC-10,DC10-10,29/07/1970,,N10DC,CF6-6K,3,N101AA,08/12/1972,American Airlines,Scrapped in 2002,Scrapped
46501,2,McDonnell Douglas DC-10,DC10-10,17/12/1970,,N101AA,CF6-6D1A,3,N10DC,01/12/1972,McDonnell Douglas,,Transferred
46501,2,McDonnell Douglas DC-10,DC10-10,17/12/1970,,N101AA,CF6-6D1A,3,G-BELO,03/06/1977,Laker Airways,,Transferred
46501,2,McDonnell Douglas DC-10,DC10-10,17/12/1970,,N101AA,CF6-6D1A,3,N183AT,21/02/1983,American Trans Air,,Transferred
46501,2,McDonnell Douglas DC-10,DC10-10,17/12/1970,,N101AA,CF6-6D1A,3,G-GCAL,01/02/1986,Cal Air International,,Transferred
46501,2,McDonnell Douglas DC-10,DC10-10,17/12/1970,,N101AA,CF6-6D1A,3,G-GCAL,01/01/1989,Novair,,Transferred
46501,2,McDonnell Douglas DC-10,DC10-10,17/12/1970,,N101AA,CF6-6D1A,3,N220AU,27/11/1991,Orbis,Stored 11/2016preserved at DMA 7 nov 2016 at the Pima air & space museum,Stored
46502,3,McDonnell Douglas DC-10,DC10-10,16/10/1970,,,CF6-6K,3,N102AA,27/06/1972,American Airlines,Scrapped 16/05/06 as N531FE,Scrapped
46503,5,McDonnell Douglas DC-10,DC10-10,11/02/1971,,,CF6-6K,3,N103AA,29/07/1971,American Airlines,Scrapped at AMS in 2002,Scrapped
46504,7,McDonnell Douglas DC-10,DC10-10,30/03/1971,,,CF6-6K,3,N104AA,17/09/1971,American Airlines,Scrapped in 1996,Scrapped
46505,9,McDonnell Douglas DC-10,DC10-10,11/05/1971,,,CF6-6K,3,N105AA,09/11/1971,American Airlines,Scrapped 01/2002,Scrapped
46506,12,McDonnell Douglas DC-10,DC10-10,30/06/1971,,,CF6-6K,3,N106AA,10/12/1971,American Airlines,Scrapped 12/2001,Scrapped
46507,13,McDonnell Douglas DC-10,DC10-10,15/07/1971,,,CF6-6K,3,N107AA,15/12/1971,American Airlines,Scrapped at Goodyear in 2002,Scrapped
