serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
48401,447,McDonnell Douglas MD-11,MD-11 F,01/03/1990,30.1,,GE CF6-80C2D1F,3,N111MD,01/01/1990,McDonnell Douglas,,Transferred
48401,447,McDonnell Douglas MD-11,MD-11 F,01/03/1990,30.1,,GE CF6-80C2D1F,3,N601FE,27/06/1991,Federal Express,Named Jim Riedmeyer  First Md-11 Built,Active
48402,448,McDonnell Douglas MD-11,MD-11 F,26/04/1990,30,,GE CF6-80C2D1F,3,N211MD,01/02/1990,McDonnell Douglas,,Transferred
48402,448,McDonnell Douglas MD-11,MD-11 F,26/04/1990,30,,GE CF6-80C2D1F,3,N602FE,29/05/1991,Federal Express,Named Malcolm Baldrige 1990,Active
48404,523,McDonnell Douglas MD-11,MD-11 F,Unknown,27.3,,GE CF6-80C2D1F,3,PP-VPJ,30/12/1992,Varig,,Transferred
48404,523,McDonnell Douglas MD-11,MD-11 F,Unknown,27.3,,GE CF6-80C2D1F,3,N255UP,10/05/2005,UPS,,Active
48405,524,McDonnell Douglas MD-11,MD-11 F,Unknown,27.3,,GE CF6-80C2D1F,3,PP-VPK,30/12/1992,Varig,,Transferred
48405,524,McDonnell Douglas MD-11,MD-11 F,Unknown,27.3,,GE CF6-80C2D1F,3,N256UP,06/06/2005,UPS,,Active
48406,547,McDonnell Douglas MD-11,MD-11 F,Unknown,26.8,,GE CF6-80C2D1F,3,N9166X,01/07/1993,McDonnell Douglas,,Transferred
48406,547,McDonnell Douglas MD-11,MD-11 F,Unknown,26.8,,GE CF6-80C2D1F,3,PP-VPL,30/12/1993,Varig,,Transferred
48406,547,McDonnell Douglas MD-11,MD-11 F,Unknown,26.8,,GE CF6-80C2D1F,3,N254UP,17/07/2002,UPS,Converted to freighter,Active
48407,456,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4060,3,HL7371,24/01/1991,Korean Air,,Transferred
48407,456,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4060,3,N380WA,04/04/2005,World Airways,ScrappedStored 05/2013Stored at Marana 11/2009 to 07/2010  Lsd From Gecas,Scrapped
48408,457,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,HL7372,25/01/1991,Korean Air,,Transferred
48408,457,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,PR-LGD,18/03/2005,VARIG Logistica,,Transferred
48408,457,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,Z-BAV,20/11/2009,Avient,,Written off
48409,490,McDonnell Douglas MD-11,MD-11 P,Unknown,,,GE CF6-80C2D1F,3,HL7373,24/03/1992,Korean Air,,Written off
48410,495,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4460,3,HL7374,20/05/1992,Korean Air,,Transferred
48410,495,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4460,3,PR-LGE,15/06/2005,VARIG Logistica,Stored at GRU 05/2008 - std at MIA since 07/2009 (Pegasus Aviation N575SH),Transferred
