serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
95001,,Sukhoi SuperJet 100,100-95,19/05/2008,11.9,,SaM146,2,RA-97001,19/05/2008,Sukhoi Civil Aircraft,,Active
95003,,Sukhoi SuperJet 100,100-95,24/12/2008,11.3,,SaM146,2,RA-97003,24/12/2008,Sukhoi Civil Aircraft,,Active
95004,,Sukhoi SuperJet 100,100-95,25/07/2009,,,SaM146,2,RA-97004,25/07/2009,Sukhoi Civil Aircraft,,Written off
95005,,Sukhoi SuperJet 100,100-95,04/02/2010,10.2,97005,SaM146,2,RA-97005,04/02/2010,Sukhoi Civil Aircraft,,Active
95007,,Sukhoi SuperJet 100,100-95B,04/11/2010,,,SaM146,2,EK95015,19/04/2011,ArmAvia,Named Yuri Gagarin,Stored
95008,,Sukhoi SuperJet 100,100-95B,31/01/2011,9.2,,SaM146,2,RA-89001,09/06/2011,Aeroflot,Stored 01/2013Named: M. Vodopyanov,Transferred
95008,,Sukhoi SuperJet 100,100-95B,31/01/2011,9.2,,SaM146,2,RA-89001,23/08/2013,Moskovia Airlines,AOC revoked on 29 Aug. 14,Transferred
95008,,Sukhoi SuperJet 100,100-95B,31/01/2011,9.2,,SaM146,2,RA-89001,02/04/2015,Red Wings Airlines,Stored 05/2016,Transferred
95008,,Sukhoi SuperJet 100,100-95B,31/01/2011,9.2,,SaM146,2,RA-89001,19/07/2016,IrAero,lsd from gtlkStored 07/2017 to 10/2019,Active
95009,,Sukhoi SuperJet 100,100-95B,29/06/2013,6.8,,SaM146,2,RA-89053,10/12/2014,Center-South,,Transferred
95009,,Sukhoi SuperJet 100,100-95B,29/06/2013,6.8,,SaM146,2,RA-89053,01/09/2015,Rusjet,,Active
95010,,Sukhoi SuperJet 100,100-95B,11/07/2011,,,SaM146,2,RA-89002,25/08/2011,Aeroflot,Stored 02/2014Named: D. Ezersky  Lsd From Veb-leasing,Transferred
95010,,Sukhoi SuperJet 100,100-95B,11/07/2011,,,SaM146,2,RA-89002,01/03/2014,Moskovia Airlines,AOC revoked on 29 Aug. 14,Transferred
95010,,Sukhoi SuperJet 100,100-95B,11/07/2011,,,SaM146,2,RA-89002,06/02/2015,Red Wings Airlines,,Transferred
95010,,Sukhoi SuperJet 100,100-95B,11/07/2011,,,SaM146,2,RA-89002,10/06/2016,IrAero,Stored 02/2018,Stored
95011,,Sukhoi SuperJet 100,100-95B,11/09/2011,8.6,,SaM146,2,RA-89003,07/11/2011,Aeroflot,Stored 02/2014Named Ivan Orlovets,Transferred
95011,,Sukhoi SuperJet 100,100-95B,11/09/2011,8.6,,SaM146,2,RF-89151,01/03/2014,Russian Government,,Active
95012,,Sukhoi SuperJet 100,100-95B,07/11/2011,,,SaM146,2,RA-89004,28/12/2011,Aeroflot,Stored 02/2014Named: Kh. Tskhovrebov  Lsd From Veb Leasing,Transferred
95012,,Sukhoi SuperJet 100,100-95B,07/11/2011,,,SaM146,2,RA-89004,21/03/2014,Center-South,Named Oleg Kuprikov,Transferred
95012,,Sukhoi SuperJet 100,100-95B,07/11/2011,,,SaM146,2,RA-89004,01/04/2016,Bural - Buryat Airlines,To enter in service,On order
95013,,Sukhoi SuperJet 100,100-95B,15/01/2012,,,SaM146,2,RA-89005,05/03/2012,Aeroflot,Stored 10/2014Lsd From Veb Leasing,Stored
95014,,Sukhoi SuperJet 100,100-95B,04/04/2012,,,SaM146,2,RA-89006,23/05/2012,Aeroflot,Stored 04/2014Named Yevgeny Barabash  Lsd From Veb Leasing,Stored
95015,,Sukhoi SuperJet 100,100-95B,10/12/2011,,,SaM146,2,RA-89007,23/01/2012,Aeroflot,Stored 02/2014Named: D. Barilov - Lsd From Veb-leasing,Transferred
95015,,Sukhoi SuperJet 100,100-95B,10/12/2011,,,SaM146,2,RA-89007,01/02/2014,Center-South,Named Sergey Melnikov,Transferred
95015,,Sukhoi SuperJet 100,100-95B,10/12/2011,,,SaM146,2,RA-89007,01/03/2016,Bural - Buryat Airlines,To enter in service,On order
95016,,Sukhoi SuperJet 100,100-95B,02/03/2012,,,SaM146,2,RA-89008,09/04/2012,Aeroflot,Stored 10/2014Named G. Benkunsky,Transferred
